employee_id,is_insider_threat,threat_pattern,notes
EMP001,False,None,Normal behavior profile.
EMP002,False,None,Normal behavior profile.
EMP003,False,None,Normal behavior profile.
EMP004,False,None,Normal behavior profile.
EMP005,False,None,Normal behavior profile.
EMP006,False,None,Normal behavior profile.
EMP007,False,None,Normal behavior profile.
EMP008,False,None,Normal behavior profile.
EMP009,False,None,Normal behavior profile.
EMP010,False,None,Normal behavior profile.
EMP011,False,None,Normal behavior profile.
EMP012,False,None,Normal behavior profile.
EMP013,False,None,Normal behavior profile.
EMP014,False,None,Normal behavior profile.
EMP015,True,USB Theft,"Employee logged in after midnight, accessed highly confidential designs, and transferred large amounts of data to USB."
EMP016,False,None,Normal behavior profile.
EMP017,False,None,Normal behavior profile.
EMP018,False,None,Normal behavior profile.
EMP019,False,None,Normal behavior profile.
EMP020,False,None,Normal behavior profile.
EMP021,False,None,Normal behavior profile.
EMP022,False,None,Normal behavior profile.
EMP023,False,None,Normal behavior profile.
EMP024,False,None,Normal behavior profile.
EMP025,False,None,Normal behavior profile.
EMP026,False,None,Normal behavior profile.
EMP027,False,None,Normal behavior profile.
EMP028,False,None,Normal behavior profile.
EMP029,False,None,Normal behavior profile.
EMP030,False,None,Normal behavior profile.
EMP031,False,None,Normal behavior profile.
EMP032,True,Mass File Download,"Employee downloaded a massive number of restricted files over a short period, far exceeding daily baseline."
EMP033,False,None,Normal behavior profile.
EMP034,False,None,Normal behavior profile.
EMP035,False,None,Normal behavior profile.
EMP036,False,None,Normal behavior profile.
EMP037,False,None,Normal behavior profile.
EMP038,False,None,Normal behavior profile.
EMP039,False,None,Normal behavior profile.
EMP040,False,None,Normal behavior profile.
EMP041,False,None,Normal behavior profile.
EMP042,False,None,Normal behavior profile.
EMP043,False,None,Normal behavior profile.
EMP044,False,None,Normal behavior profile.
EMP045,False,None,Normal behavior profile.
EMP046,False,None,Normal behavior profile.
EMP047,False,None,Normal behavior profile.
EMP048,False,None,Normal behavior profile.
EMP049,False,None,Normal behavior profile.
EMP050,False,None,Normal behavior profile.
EMP051,False,None,Normal behavior profile.
EMP052,False,None,Normal behavior profile.
EMP053,False,None,Normal behavior profile.
EMP054,False,None,Normal behavior profile.
EMP055,True,Impossible Travel,Employee logged in from London and San Francisco within 30 minutes. Exfiltrated database dump via email attachment to unknown recipient.
EMP056,False,None,Normal behavior profile.
EMP057,False,None,Normal behavior profile.
EMP058,False,None,Normal behavior profile.
EMP059,False,None,Normal behavior profile.
EMP060,False,None,Normal behavior profile.
EMP061,False,None,Normal behavior profile.
EMP062,False,None,Normal behavior profile.
EMP063,False,None,Normal behavior profile.
EMP064,False,None,Normal behavior profile.
EMP065,False,None,Normal behavior profile.
EMP066,False,None,Normal behavior profile.
EMP067,False,None,Normal behavior profile.
EMP068,False,None,Normal behavior profile.
EMP069,False,None,Normal behavior profile.
EMP070,False,None,Normal behavior profile.
EMP071,False,None,Normal behavior profile.
EMP072,False,None,Normal behavior profile.
EMP073,False,None,Normal behavior profile.
EMP074,False,None,Normal behavior profile.
EMP075,False,None,Normal behavior profile.
EMP076,False,None,Normal behavior profile.
EMP077,False,None,Normal behavior profile.
EMP078,True,Privilege Escalation,"Employee escalated their account privileges without valid IT approval, then immediately accessed sensitive financial data."
EMP079,False,None,Normal behavior profile.
EMP080,False,None,Normal behavior profile.
EMP081,False,None,Normal behavior profile.
EMP082,False,None,Normal behavior profile.
EMP083,False,None,Normal behavior profile.
EMP084,False,None,Normal behavior profile.
EMP085,False,None,Normal behavior profile.
EMP086,False,None,Normal behavior profile.
EMP087,False,None,Normal behavior profile.
EMP088,False,None,Normal behavior profile.
EMP089,False,None,Normal behavior profile.
EMP090,False,None,Normal behavior profile.
EMP091,False,None,Normal behavior profile.
EMP092,False,None,Normal behavior profile.
EMP093,False,None,Normal behavior profile.
EMP094,False,None,Normal behavior profile.
EMP095,False,None,Normal behavior profile.
EMP096,False,None,Normal behavior profile.
EMP097,False,None,Normal behavior profile.
EMP098,False,None,Normal behavior profile.
EMP099,False,None,Normal behavior profile.
EMP100,False,None,Normal behavior profile.
EMP101,False,None,Normal behavior profile.
EMP102,True,USB Theft,"Employee uploaded large backup files to mega.io during off-hours, and transferred logs to a USB device."
EMP103,False,None,Normal behavior profile.
EMP104,False,None,Normal behavior profile.
EMP105,False,None,Normal behavior profile.
EMP106,False,None,Normal behavior profile.
EMP107,False,None,Normal behavior profile.
EMP108,False,None,Normal behavior profile.
EMP109,False,None,Normal behavior profile.
EMP110,False,None,Normal behavior profile.
EMP111,False,None,Normal behavior profile.
EMP112,False,None,Normal behavior profile.
EMP113,False,None,Normal behavior profile.
EMP114,False,None,Normal behavior profile.
EMP115,False,None,Normal behavior profile.
EMP116,False,None,Normal behavior profile.
EMP117,False,None,Normal behavior profile.
EMP118,False,None,Normal behavior profile.
EMP119,False,None,Normal behavior profile.
EMP120,False,None,Normal behavior profile.
EMP121,False,None,Normal behavior profile.
EMP122,False,None,Normal behavior profile.
EMP123,False,None,Normal behavior profile.
EMP124,False,None,Normal behavior profile.
EMP125,False,None,Normal behavior profile.
EMP126,False,None,Normal behavior profile.
EMP127,False,None,Normal behavior profile.
EMP128,False,None,Normal behavior profile.
EMP129,False,None,Normal behavior profile.
EMP130,False,None,Normal behavior profile.
EMP131,False,None,Normal behavior profile.
EMP132,False,None,Normal behavior profile.
EMP133,False,None,Normal behavior profile.
EMP134,False,None,Normal behavior profile.
EMP135,False,None,Normal behavior profile.
EMP136,False,None,Normal behavior profile.
EMP137,False,None,Normal behavior profile.
EMP138,False,None,Normal behavior profile.
EMP139,False,None,Normal behavior profile.
EMP140,False,None,Normal behavior profile.
EMP141,False,None,Normal behavior profile.
EMP142,False,None,Normal behavior profile.
EMP143,False,None,Normal behavior profile.
EMP144,False,None,Normal behavior profile.
EMP145,True,Midnight Login,"Employee spending office hours on job search, downloaded core AI repo, and performed unauthorized midnight logins."
EMP146,False,None,Normal behavior profile.
EMP147,False,None,Normal behavior profile.
EMP148,False,None,Normal behavior profile.
EMP149,False,None,Normal behavior profile.
EMP150,False,None,Normal behavior profile.
